time,open,high,low,close,TWAP,VWAP,Plot
1689206400,68.24,83.9,65.46,71.89,73.75,73.75,1.7909408334493269
1689292800,71.89,74.1,62.8,67.85,68.24999999999999,68.24999999999999,1.4013828155632635
1689379200,67.85,69.21,65,67.99,67.39999999999999,67.39999999999999,0.8926928579683296
1689465600,67.99,68.02,62.4,63.93,64.78333333333333,64.78333333333333,0.6122309780529854
1689552000,63.93,67.36,62.57,66.33,65.42,65.42,0.6635014341390942
1689638400,66.33,72.54,64.42,71.22,69.39333333333333,69.39333333333333,1.42645804765061
1689724800,71.22,79.91,69.85,75.47,75.07666666666667,75.07666666666667,2.0441458413703115
1689811200,75.47,76.38,66.43,71.1,71.30333333333333,71.30333333333333,1.3996903660197941
1689897600,71.1,85.13,70,80.54,78.55666666666667,78.55666666666667,1.717644970075049
1689984000,80.54,86,77.11,84.05,82.38666666666667,82.38666666666667,2.1440363295855622
1690070400,84.05,99,80.92,83.68,87.86666666666667,87.86666666666667,2.554668635469401
1690156800,83.68,89.87,80.34,86.8,85.67,85.67,2.3368449697457545
1690243200,86.8,94.17,85.93,86.05,88.71666666666668,88.71666666666668,2.6767639871160114
1690329600,86.05,91.11,85.16,86.44,87.57,87.57,2.6563081632906305
1690416000,86.44,88.5,82.66,83.04,84.73333333333333,84.73333333333333,2.4259642613904413
1690502400,83.04,83.66,77,81.11,80.58999999999999,80.58999999999999,2.0423198512330925
1690588800,81.11,82.81,79.97,80.39,81.05666666666667,81.05666666666667,2.10597833042762
1690675200,80.39,80.89,72.1,74.58,75.85666666666667,75.85666666666667,1.8331664595912167
1690761600,74.58,77,62.66,68.28,69.31333333333333,69.31333333333333,1.4671347195182194
1690848000,68.28,73.32,65,73.18,70.5,70.5,1.6721249552926802
1690934400,73.18,74.43,65.3,67.17,68.96666666666668,68.96666666666668,1.5590908672015997
1691020800,67.17,69,63.33,66.9,66.41,66.41,1.3735858638809153
1691107200,66.9,67.05,63.29,64.76,65.03333333333335,65.03333333333335,1.281964098755393
1691193600,64.76,64.98,60,61.49,62.156666666666666,62.156666666666666,1.1397371416135018
1691280000,61.49,65.7,60.63,64.38,63.57,63.57,1.1407703073854476
1691366400,64.38,66.58,61.2,64.89,64.22333333333334,64.22333333333334,1.4024173356405052
1691452800,64.89,66.9,63.27,65.65,65.27333333333334,65.27333333333334,1.6873274580507436
