time,open,high,low,close,TWAP,VWAP,Plot
1699660800,1.961,2.1,1.89,1.938,1.976,1.9759999999999998,-1.299715773452008
1699747200,1.937,1.985,1.842,1.948,1.925,1.925,-1.1888457504628651
1699833600,1.948,2.6,1.875,2.308,2.2609999999999997,2.2609999999999997,0.14521033199008226
1699920000,2.308,2.338,2.111,2.301,2.25,2.25,0.643971238120843
1700006400,2.301,2.45,2.273,2.358,2.3603333333333336,2.3603333333333336,1.0433462104937525
1700092800,2.358,2.529,2.145,2.182,2.2853333333333334,2.2853333333333334,1.107915828844348
1700179200,2.182,2.259,1.868,1.996,2.041,2.041,0.6520460411498061
1700265600,1.995,2.118,1.82,2.058,1.9986666666666666,1.9986666666666666,0.8178407940867861
1700352000,2.057,2.589,2,2.415,2.3346666666666667,2.3346666666666667,1.8420908259294244
1700438400,2.416,2.719,2.161,2.199,2.3596666666666666,2.3596666666666666,1.9721899107181144
1700524800,2.199,2.507,2.177,2.235,2.3063333333333333,2.3063333333333333,1.5751274111172242
1700611200,2.235,2.612,2.228,2.511,2.4503333333333335,2.4503333333333335,1.9055678418734394
1700697600,2.511,2.547,2.315,2.38,2.414,2.414,2.219248769288582
1700784000,2.379,2.572,2.339,2.477,2.462666666666667,2.462666666666667,2.528741076707813
1700870400,2.478,2.878,2.442,2.731,2.683666666666667,2.683666666666667,3.39240145298122
1700956800,2.731,2.762,2.561,2.658,2.6603333333333334,2.6603333333333334,3.2600063161709714
1701043200,2.656,2.784,2.453,2.508,2.5816666666666666,2.5816666666666666,2.834269086096771
1701129600,2.509,2.576,2.4,2.52,2.498666666666667,2.498666666666667,2.5599075818891412
1701216000,2.521,2.64,2.322,2.343,2.435,2.435,2.4402134082845675
1701302400,2.343,2.452,2.315,2.435,2.4006666666666665,2.4006666666666665,2.305139294044675
1701388800,2.435,2.525,2.369,2.4,2.4313333333333333,2.4313333333333333,2.473788624348145
1701475200,2.4,2.6,2.397,2.553,2.5166666666666666,2.5166666666666666,2.5489002788266433
1701561600,2.553,2.609,2.421,2.463,2.4976666666666665,2.4976666666666665,2.7688578407163997
1701648000,2.464,2.577,2.32,2.461,2.452666666666667,2.452666666666667,2.729104741357976
1701734400,2.461,2.539,2.368,2.45,2.4523333333333333,2.4523333333333333,2.659593659205615
